Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,1.0,0.592,142,NM(30),0.6667,0.8063,0.1292,0.9194
Adam,10,1.0,0.6,144,NM(30),0.7583,0.7308,0.2042,0.9392
Adam,20,0.995,0.592,142,"BG(30), EM(30)",0.7708,0.6865,0.2417,0.9412
Adam,40,1.0,0.617,148,"BG(30), EM(30)",0.7875,0.6825,0.25,0.9329
Adam,60,1.0,0.671,161,EM(30),0.775,0.8011,0.1542,0.95
AdamW,5,1.0,0.542,130,NM(30),0.5958,0.7133,0.1708,0.8644
AdamW,10,1.0,0.588,141,NM(30),0.7708,0.6919,0.2375,0.9289
AdamW,20,1.0,0.562,135,"BO(29), NM(29)",0.7708,0.6757,0.25,0.9436
AdamW,40,1.0,0.604,145,BO(29),0.8,0.6667,0.2667,0.9357
AdamW,60,1.0,0.692,166,"EM(30), NM(30), VK(30)",0.8292,0.7638,0.1958,0.9519
RMSProp,5,0.809,0.321,77,NM(30),0.5125,0.4797,0.2667,0.8806
RMSProp,10,0.98,0.371,89,NM(29),0.4708,0.5841,0.1958,0.8352
RMSProp,20,0.968,0.383,92,EM(24),0.6917,0.4518,0.3792,0.8978
RMSProp,40,0.736,0.179,43,VK(29),0.0083,0.0,0.0083,0.5798
RMSProp,60,0.999,0.546,131,BO(30),0.4083,0.8878,0.0458,0.7931
Lion,5,0.995,0.662,159,"BG(30), EM(30), NM(30)",0.9292,0.6996,0.2792,0.9817
Lion,10,0.996,0.379,91,NM(30),0.85,0.3725,0.5333,0.9276
Lion,20,0.997,0.7,168,NM(30),0.7958,0.801,0.1583,0.9371
Lion,40,0.998,0.567,136,"BO(29), EM(29)",0.8667,0.6394,0.3125,0.9723
Lion,60,1.0,0.688,165,"BO(29), NM(29)",0.8792,0.7441,0.225,0.9756
Aida,5,1.0,0.588,141,NM(30),0.4958,0.8571,0.0708,0.8276
Aida,10,1.0,0.592,142,"BO(29), BG(29), EM(29), NM(29)",0.5917,0.8169,0.1083,0.8873
Aida,20,1.0,0.6,144,"BO(29), BG(29), EM(29), NM(29)",0.6542,0.828,0.1125,0.9321
Aida,40,1.0,0.625,150,"EM(30), NM(30)",0.7083,0.7647,0.1667,0.9179
Aida,60,1.0,0.608,146,NM(30),0.775,0.7043,0.2292,0.933
